Style Code,Product,Supplier Name,Sales Rep,Email,Current Supplier,Standard shipping MOQ,Economy Shipping MOQ,V4 Blanks Sea Price,V4 Blanks Air Price,Air Ship Price,Sea Ship Price,Bulk Production Timeline,Air Shipping Timeline,Sea Shipping Timeline,Weights
FP135,Lexi Drawstring Mini Skort,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$13.20,,$6.38,$5.50,14-21 days (5 week MTO),10-15 days,35-40 days,
FP135,Lexi Drawstring Mini Skort," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,50 Units,$13.20,,$8.00,$7.25,14-21 days (5 week MTO),10-15 days,35-40 days,
FP136,Olympia Heavyweight Track Jacket,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$30.50,,$22.00,$13.90,10-14 days (4 week MTO),10-15 days,35-40 days,
FP137,Cabo Heavyweight Color Block Low Waist Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$30.50,,$17.50,$12.50,10-14 days (4 week MTO),15 days,35-50 days,
FP138,Malibu Heavyweight Low Waist Color Block Sweatshorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$18.90,,$11.00,$7.50,10-14 days (4 week MTO),16 days,35-50 days,
FP139,Miami Heavyweight Color Block Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$18.90,,$11.00,$7.50,10-14 days (4 week MTO),17 days,35-50 days,
FP140,San Diego Open Heavyweight Color Block Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$30.50,,$17.50,$12.50,10-14 days (4 week MTO),18 days,35-50 days,
FP141,Frankie Off-Shoulder Heavyweight Sweatshirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,,$24.80,,$15.50,$11.00,14-21 days (5 week MTO),10-15 days,35-40 days,
FP142,Beckham Varsity Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,51 units - MTO and Custom Colors,,$12.40,,$8.50,$7.20,14-21 days (5 week MTO),10-15 days,35-40 days,
FP143,Morgan Oversized Varsity Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,52 units - MTO and Custom Colors,,$12.40,,$8.50,$7.20,14-21 days (5 week MTO),10-15 days,35-40 days,
FP144,Bella Lounge Shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,,,,$5.15,$4,14-21 days (5 week MTO),10-15 days,35-40 days,
FP36,Custom Knit Sweaters,"DONGGUAN FUXING KNITTING GARMENTS CO.,LTD",Dicken Zou,dickenzou@foxmail.com,,Available on HJ,,Available on HJ,,Available on HJ,Available on HJ,Available on HJ,Available on HJ,Available on HJ,
FP37,Custom Knit Sweater Vest,"DONGGUAN FUXING KNITTING GARMENTS CO.,LTD",Dicken Zou,dickenzou@foxmail.com,,Available on HJ,,Available on HJ,,Available on HJ,Available on HJ,Available on HJ,Available on HJ,Available on HJ,
